year,disp_inc_per_capita_2012usd
1929,7361
1930,6822
1931,6540
1932,5648
1933,5452
1934,5938
1935,6468
1936,7237
1937,7437
1938,6974
1939,7496
1940,7942
1941,9106
1942,10212
1943,10556
1944,10754
1945,10516
1946,10289
1947,9684
1948,10019
1949,9927
1950,10666
1951,10839
1952,11026
1953,11368
1954,11330
1955,11873
1956,12223
1957,12317
1958,12241
1959,12560
1960,12629
1961,12861
1962,13281
1963,13585
1964,14350
1965,15052
1966,15672
1967,16181
1968,16748
1969,17148
1970,17734
1971,18321
1972,18999
1973,19989
1974,19583
1975,19869
1976,20306
1977,20740
1978,21455
1979,21630
1980,21542
1981,21849
1982,22113
1983,22669
1984,24016
1985,24518
1986,25219
1987,25548
1988,26508
1989,27027
1990,27250
1991,27086
1992,27841
1993,27935
1994,28356
1995,28954
1996,29528
1997,30246
1998,31651
1999,32312
2000,33568
2001,34149
2002,34848
2003,35446
2004,36302
2005,36527
2006,37621
2007,38119
2008,38125
2009,37728
2010,38161
2011,38769
2012,39765
2013,38974
2014,40251
2015,41598
2016,42003
2017,42791